area_code,area_name,age_category,value
E12000001,North East,"[0, 5)",134300
E12000002,North West,"[0, 5)",407700
E12000003,Yorkshire and The Humber,"[0, 5)",298600
E12000004,East Midlands,"[0, 5)",253200
E12000005,West Midlands,"[0, 5)",335400
E12000006,East of England,"[0, 5)",349100
E12000007,London,"[0, 5)",529000
E12000008,South East,"[0, 5)",495300
E12000009,South West,"[0, 5)",274400
W92000004,Wales,"[0, 5)",155100
E12000001,North East,"[5, 10)",150500
E12000002,North West,"[5, 10)",445000
E12000003,Yorkshire and The Humber,"[5, 10)",326100
E12000004,East Midlands,"[5, 10)",283300
E12000005,West Midlands,"[5, 10)",368300
E12000006,East of England,"[5, 10)",380600
E12000007,London,"[5, 10)",531500
E12000008,South East,"[5, 10)",552200
E12000009,South West,"[5, 10)",311100
W92000004,Wales,"[5, 10)",175900
E12000001,North East,"[10, 15)",154400
E12000002,North West,"[10, 15)",452400
E12000003,Yorkshire and The Humber,"[10, 15)",332600
E12000004,East Midlands,"[10, 15)",290300
E12000005,West Midlands,"[10, 15)",374400
E12000006,East of England,"[10, 15)",385100
E12000007,London,"[10, 15)",535400
E12000008,South East,"[10, 15)",569000
E12000009,South West,"[10, 15)",319600
W92000004,Wales,"[10, 15)",182800
E12000001,North East,"[15, 20)",150100
E12000002,North West,"[15, 20)",430900
E12000003,Yorkshire and The Humber,"[15, 20)",323100
E12000004,East Midlands,"[15, 20)",287300
E12000005,West Midlands,"[15, 20)",357500
E12000006,East of England,"[15, 20)",343000
E12000007,London,"[15, 20)",489400
E12000008,South East,"[15, 20)",524000
E12000009,South West,"[15, 20)",313600
W92000004,Wales,"[15, 20)",175700
E12000001,North East,"[20, 25)",162900
E12000002,North West,"[20, 25)",453700
E12000003,Yorkshire and The Humber,"[20, 25)",347700
E12000004,East Midlands,"[20, 25)",306400
E12000005,West Midlands,"[20, 25)",363400
E12000006,East of England,"[20, 25)",342300
E12000007,London,"[20, 25)",589200
E12000008,South East,"[20, 25)",516500
E12000009,South West,"[20, 25)",332200
W92000004,Wales,"[20, 25)",187700
E12000001,North East,"[25, 30)",160700
E12000002,North West,"[25, 30)",476800
E12000003,Yorkshire and The Humber,"[25, 30)",350900
E12000004,East Midlands,"[25, 30)",301200
