area_code,area_name,age_category,value
K04000001,England and Wales,"[0, 5)",3232100
K04000001,England and Wales,"[5, 10)",3524600
K04000001,England and Wales,"[10, 15)",3595900
K04000001,England and Wales,"[15, 20)",3394700
K04000001,England and Wales,"[20, 25)",3602100
K04000001,England and Wales,"[25, 30)",3901800
K04000001,England and Wales,"[30, 35)",4148800
K04000001,England and Wales,"[35, 40)",3981600
K04000001,England and Wales,"[40, 45)",3755700
K04000001,England and Wales,"[45, 50)",3788700
K04000001,England and Wales,"[50, 55)",4123400
K04000001,England and Wales,"[55, 60)",4029000
K04000001,England and Wales,"[60, 65)",3455700
K04000001,England and Wales,"[65, 70)",2945100
K04000001,England and Wales,"[70, 75)",2978000
K04000001,England and Wales,"[75, 80)",2170300
K04000001,England and Wales,"[80, 85)",1517000
K04000001,England and Wales,"[85, 90)",925100
K04000001,England and Wales,"[90, Inf)",527900
